address_to_geocode,latitude,longitude,source,to_check,location_type,formatted_address,types
"WESTLAKE and WILSHIRE, Los Angeles",34.0573874,-118.274705,geocoding,NO,GEOMETRIC_CENTER,"S Westlake Ave & Wilshire Blvd, Los Angeles, CA 90057, USA",intersection
"OHIO AV and AMHERST AV, Los Angeles",34.0394851,-118.4637068,geocoding,NO,GEOMETRIC_CENTER,"Amherst Ave & W Ohio Ave, Los Angeles, CA 90025, USA",['intersection']
"HOLLYWOOD and CAHUENGA, Los Angeles",34.1016134,-118.3295531,geocoding,NO,GEOMETRIC_CENTER,"Hollywood Blvd & Cahuenga Blvd, Los Angeles, CA 90028, USA",['intersection']
4800 TOPANGA CANYON BL,34.1544813,-118.6054511,geocoding,NO,RANGE_INTERPOLATED,"4800 Topanga Canyon Blvd, Woodland Hills, CA 91364, USA",['street_address']
"ASTORIA and GLADSTONE, Los Angeles",34.31551,-118.4343223,geocoding,NO,GEOMETRIC_CENTER,"Astoria St & Gladstone Ave, Los Angeles, CA 91342, USA",intersection
"VANOWEN ST and COLUMBUS AV, Los Angeles",34.193932,-118.4640132,geocoding,NO,GEOMETRIC_CENTER,"Columbus Ave & Vanowen St, Los Angeles, CA 91405, USA",['intersection']
18900 BRAEMORE RD,34.2907221,-118.5454618,geocoding,NO,RANGE_INTERPOLATED,"18900 Braemore Rd, Porter Ranch, CA 91326, USA",['street_address']
"6TH ST and BURLINGTON, Los Angeles",34.0580199,-118.2714766,geocoding,NO,GEOMETRIC_CENTER,"S Burlington Ave & W 6th St, Los Angeles, CA 90057, USA",['intersection']
"HOLLYWOOD and HIGHLAND, Los Angeles",34.1015539,-118.3387191,geocoding,NO,GEOMETRIC_CENTER,"Hollywood Blvd & N Highland Ave, Los Angeles, CA 90028, USA",['intersection']
"MCCADDEN and YUCCA, Los Angeles",34.1031903,-118.3374684,geocoding,NO,GEOMETRIC_CENTER,"N McCadden Pl & Yucca St, Los Angeles, CA 90028, USA",['intersection']
"LANKERSHIM BL and NEENACH, Los Angeles",34.2309024,-118.3877923,geocoding,NO,GEOMETRIC_CENTER,"Lankershim Blvd & Neenach St, Los Angeles, CA 91352, USA",['intersection']
18300 VANOWEN ST,34.1936101,-118.5318675,geocoding,NO,ROOFTOP,"18300 Vanowen St, Reseda, CA 91335, USA",['premise']
15000 MOORPARK ST,34.1533997,-118.4598777,geocoding,NO,ROOFTOP,"15000 Moorpark St, Sherman Oaks, CA 91403, USA",['premise']
"77TH ST and CERES ST, Los Angeles",0,0,geocoding,YES,NOT FOUND,NOT FOUND,NOT FOUND
"WALL ST and VERNON AV, Los Angeles",34.0038501,-118.2717471,geocoding,NO,GEOMETRIC_CENTER,"Wall St & E Vernon Ave, Los Angeles, CA 90011, USA",['intersection']
1600 N LAS PALMAS AV,34.09988,-118.336,geocoding,NO,ROOFTOP,"1600 N Las Palmas Ave, Los Angeles, CA 90028, USA",['street_address']
22100 CLARENDON ST,34.1696541,-118.6080621,geocoding,NO,RANGE_INTERPOLATED,"22100 Clarendon St, Woodland Hills, CA 91367, USA",street_address
"EXPOSITION and GRANVILLE, Los Angeles",34.0322642,-118.4490062,geocoding,NO,GEOMETRIC_CENTER,"Exposition Blvd & Granville Ave, Los Angeles, CA 90064, USA",['intersection']
"SAN FERNANDO RD and OSBORNE ST, Los Angeles",34.25419,-118.4095131,geocoding,NO,GEOMETRIC_CENTER,"San Fernando Rd & Osborne St, Los Angeles, CA 91331, USA",['intersection']
"MADISON AV and OAKWOOD AV, Los Angeles",34.0777341,-118.2891781,geocoding,NO,GEOMETRIC_CENTER,"N Madison Ave & Oakwood Ave, Los Angeles, CA 90004, USA",['intersection']
5900 S BROADWAY,33.9867897,-118.2779208,geocoding,NO,ROOFTOP,"5900 S Broadway, Los Angeles, CA 90003, USA",street_address
"ALVARADO and WILSHIRE BL, Los Angeles",34.0579283,-118.2759085,geocoding,NO,GEOMETRIC_CENTER,"Wilshire Blvd & S Alvarado St, Los Angeles, CA 90057, USA",['intersection']
"LANKERSHIM BL and TIARA ST, Los Angeles",34.1784965,-118.3828594,geocoding,NO,GEOMETRIC_CENTER,"Lankershim Blvd & Tiara St, Los Angeles, CA 91601, USA",['intersection']
7000 HOLLYWOOD BL,34.1012445,-118.341766,geocoding,NO,ROOFTOP,"7000 Hollywood Blvd, Los Angeles, CA 90028, USA",['premise']
"SANTA MONICA and MARIPOSA, Los Angeles",34.0908372,-118.2992169,geocoding,NO,GEOMETRIC_CENTER,"N Mariposa Ave & Santa Monica Blvd, Los Angeles, CA 90029, USA",['intersection']
200 E 6TH ST,0,0,geocoding,YES,0,0,0
1200 VENICE BL,34.0422522,-118.2810738,geocoding,NO,ROOFTOP,"1200 Venice Blvd., Los Angeles, CA 90006, USA",['street_address']
11600 DEHOUGNE ST,34.1960806,-118.3846541,geocoding,NO,RANGE_INTERPOLATED,"11600 Dehougne St, North Hollywood, CA 91605, USA",['street_address']
"POLK ST and FOOTHILL FY, Los Angeles",34.3155639,-118.4408072,geocoding,NO,GEOMETRIC_CENTER,"Foothill Blvd & Polk St, Los Angeles, CA 91342, USA",['intersection']
"HOLLYWOOD and CHEROKEE AV, Los Angeles",34.1015843,-118.3347598,geocoding,NO,GEOMETRIC_CENTER,"Hollywood Blvd & N Cherokee Ave, Los Angeles, CA 90028, USA",['intersection']
10500 LANARK ST,34.2185165,-118.4706415,geocoding,NO,RANGE_INTERPOLATED,"10500 Lanark St, Van Nuys, CA 91406, USA",['street_address']
400 E 4TH ST,35.2232602,-80.8412034,geocoding,NO,ROOFTOP,"400 E 4th St, Charlotte, NC 28202, USA",street_address
"SEPULVEDA and CHASE, Los Angeles",34.2246561,-118.4677079,geocoding,NO,GEOMETRIC_CENTER,"Sepulveda Blvd & Chase St, Los Angeles, CA 91343, USA",intersection
8000 S SAN PEDRO ST,33.9663383,-118.2693717,geocoding,NO,ROOFTOP,"8000 San Pedro St, Los Angeles, CA 90003, USA",['premise']
400 E 42ND PL,41.8175388,-87.6165439,geocoding,NO,RANGE_INTERPOLATED,"400 E 42nd Pl, Chicago, IL 60653, USA",['street_address']
5900 HOLLYWOOD BL,34.1011525,-118.3184458,geocoding,NO,ROOFTOP,"5900 Hollywood Blvd, Hollywood, CA 90028, USA",['street_address']
"23RD ST and CENTRAL AV, Los Angeles",34.021282,-118.2534686,geocoding,NO,GEOMETRIC_CENTER,"E 23rd St & S Central Ave, Los Angeles, CA 90011, USA",['intersection']
"SHERMAN WY and INDEPENDENCE, Los Angeles",34.2011152,-118.5906375,geocoding,NO,GEOMETRIC_CENTER,"Sherman Way & Independence Ave, Los Angeles, CA 91303, USA",['intersection']
5400 HOLLYWOOD BL,34.1013875,-118.3073331,geocoding,NO,ROOFTOP,"5400 Hollywood Blvd, Los Angeles, CA 90027, USA",['premise']
"BARNSDALL and VERMONT, Los Angeles",34.0990925,-118.2917896,geocoding,NO,GEOMETRIC_CENTER,"Barnsdall Ave & N Vermont Ave, Los Angeles, CA 90027, USA",['intersection']
"PICO BL and PALOMA ST, Los Angeles",34.0303596,-118.2483961,geocoding,NO,GEOMETRIC_CENTER,"Paloma St & Pico Blvd, Los Angeles, CA 90021, USA",['intersection']
"KLUMP AV and VANOWEN ST, Los Angeles",34.193957,-118.3757442,geocoding,NO,GEOMETRIC_CENTER,"Vanowen St & Klump Ave, Los Angeles, CA 91605, USA",['intersection']
13700 FOOTHILL BL,34.3078626,-118.4322857,geocoding,NO,ROOFTOP,"13700 Foothill Blvd, Sylmar, CA 91342, USA",['premise']
8700 GRACIE ALLEN DR,34.0750175,-118.38059,geocoding,NO,ROOFTOP,"8700 Gracie Allen Dr, Los Angeles, CA 90048, USA",['street_address']
"CANOGA and ROSCOE, Los Angeles",34.2198072,-118.5975231,geocoding,NO,GEOMETRIC_CENTER,"Roscoe Blvd & Canoga Ave, Los Angeles, CA 91304, USA",['intersection']
"77TH ST and HOOVER, Los Angeles",33.9697773,-118.2871144,geocoding,NO,GEOMETRIC_CENTER,"W 77th St & Hoover St, Los Angeles, CA 90044, USA",['intersection']
1200 S BARRINGTON AV,34.0491304,-118.4606847,geocoding,NO,RANGE_INTERPOLATED,"1200 S Barrington Ave, Los Angeles, CA 90025, USA",['street_address']
"CHANDLER AV and TUJUNGA BL, Los Angeles",34.178062,-118.3790672,geocoding,YES,GEOMETRIC_CENTER,"Tujunga Ave, Los Angeles, CA, USA",route
"NORDHOFF ST and TAMPA AV, Los Angeles",34.2355002,-118.5535801,geocoding,NO,GEOMETRIC_CENTER,"Tampa Ave & Nordhoff St, Los Angeles, CA 91324, USA",['intersection']
500 W 77TH ST,40.7837862,-73.9838807,geocoding,NO,RANGE_INTERPOLATED,"500 W 77th St, New York, NY 10024, USA",['street_address']
"SANTA MONICA and STONER, Los Angeles",34.0432846,-118.4570932,geocoding,NO,GEOMETRIC_CENTER,"Stoner Ave & Santa Monica Blvd, Los Angeles, CA 90025, USA",['intersection']
1500 E 53RD ST,41.7996729,-87.5889182,geocoding,NO,ROOFTOP,"1500 E 53rd St, Chicago, IL 60615, USA",['street_address']
"14TH ST and STANFORD, Los Angeles",34.0304987,-118.2510652,geocoding,NO,GEOMETRIC_CENTER,"E 14th St & Stanford Ave, Los Angeles, CA 90021, USA",['intersection']
11600 GATEWAY BL,0,0,geocoding,YES,0,0,0
"SAWTELLE and SANTA MONICA, Los Angeles",34.0464919,-118.4484367,geocoding,NO,GEOMETRIC_CENTER,"Sawtelle Blvd & Santa Monica Blvd, Los Angeles, CA 90025, USA",['intersection']
"GILMORE ST and LANKERSHIM BL, Los Angeles",34.1875176,-118.3877957,geocoding,NO,GEOMETRIC_CENTER,"Lankershim Blvd & Gilmore St, Los Angeles, CA 91606, USA",['intersection']
21900 SCHOENBORN ST,34.2209361,-118.6050022,geocoding,NO,RANGE_INTERPOLATED,"21900 Schoenborn St, Canoga Park, CA 91304, USA",['street_address']
"COHASSET and SEPULVEDA BL, Los Angeles",34.206632,-118.46595,geocoding,NO,GEOMETRIC_CENTER,"N Sepulveda Blvd & Cohasset St, Los Angeles, CA 91405, USA",['intersection']
"COLUMBUS and NORDHOFF, Los Angeles",34.2355221,-118.4653951,geocoding,NO,GEOMETRIC_CENTER,"Columbus Ave & Nordhoff St, Los Angeles, CA 91343, USA",intersection
"KENWOOD AV and 30TH ST, Los Angeles",34.0273155,-118.2991542,geocoding,NO,GEOMETRIC_CENTER,"Kenwood Ave & W 30th St, Los Angeles, CA 90007, USA",['intersection']
"48TH ST and AVALON BL, Los Angeles",33.999776,-118.2652412,geocoding,NO,GEOMETRIC_CENTER,"E 48th St & Avalon Blvd, Los Angeles, CA 90011, USA",['intersection']
"BASSETT and SEPULVEDA BL, Los Angeles",34.1957365,-118.4662079,geocoding,NO,GEOMETRIC_CENTER,"Bassett St & Sepulveda Blvd, Los Angeles, CA 91405, USA",intersection
6600 HOLLYWOOD BL,34.1012722,-118.3333711,geocoding,NO,ROOFTOP,"6600 Hollywood Blvd, Los Angeles, CA 90028, USA",['premise']
6300 SANTA MONICA BL,34.090486,-118.3269954,geocoding,NO,ROOFTOP,"6300 Santa Monica Blvd, Los Angeles, CA 90038, USA",['premise']
1800 N LAS PALMAS AV,34.104156,-118.3361683,geocoding,NO,RANGE_INTERPOLATED,"1800 N Las Palmas Ave, Los Angeles, CA 90028, USA",['street_address']
"6TH ST and BURLINGTON AV, Los Angeles",34.0580199,-118.2714766,geocoding,NO,GEOMETRIC_CENTER,"S Burlington Ave & W 6th St, Los Angeles, CA 90057, USA",['intersection']
"11TH ST and HOPE ST, Los Angeles",34.0422553,-118.2630689,geocoding,NO,GEOMETRIC_CENTER,"W 11th St & Hope St, Los Angeles, CA 90015, USA",intersection
2000 COTNER AV,34.0421246,-118.4415109,geocoding,NO,ROOFTOP,"2000 Cotner Ave, Los Angeles, CA 90025, USA",['subpremise']
6800 HOLLYWOOD BL,34.1012367,-118.3389423,geocoding,NO,ROOFTOP,"Parking lot, 6800 Hollywood Blvd, Los Angeles, CA 90028, USA",['premise']
"FLOWER and VENICE, Los Angeles",34.037151,-118.2688711,geocoding,NO,GEOMETRIC_CENTER,"Flower St & Venice Blvd, Los Angeles, CA 90015, USA","['establishment', 'point_of_interest', 'transit_station']"
"COTNER and OLYMPIC, Los Angeles",34.0393136,-118.4393764,geocoding,NO,GEOMETRIC_CENTER,"W Olympic Blvd & Cotner Ave, Los Angeles, CA 90025, USA",['intersection']
"STONER AV and MISSISSIPPI AV, Los Angeles",34.0350587,-118.4500065,geocoding,NO,GEOMETRIC_CENTER,"Stoner Ave & Mississippi Ave, Los Angeles, CA 90025, USA",['intersection']
14500 FRIAR ST,34.1856778,-118.4487322,geocoding,NO,RANGE_INTERPOLATED,"14500 Friar St, Van Nuys, CA 91411, USA",['street_address']
700 CERES AV,34.0381889,-118.243197,geocoding,NO,RANGE_INTERPOLATED,"700 Ceres Ave, Los Angeles, CA 90021, USA",['street_address']
"LOS ANGELES ST and 11TH ST, Los Angeles",34.0384256,-118.2571423,geocoding,NO,GEOMETRIC_CENTER,"E 11th St & Los Angeles St, Los Angeles, CA 90015, USA",['intersection']
11600 W PICO BL,34.0322554,-118.4439652,geocoding,NO,ROOFTOP,"11600 W Pico Blvd, Los Angeles, CA 90064, USA",['premise']
6200 SYLMAR AV,34.1826593,-118.4465489,geocoding,NO,RANGE_INTERPOLATED,"6200 Sylmar Ave, Van Nuys, CA 91401, USA",['street_address']
"HAYNES and SEPULVEDA BL, Los Angeles",34.1884734,-118.4662015,geocoding,NO,GEOMETRIC_CENTER,"Haynes St & Sepulveda Blvd, Los Angeles, CA 91411, USA",intersection
"OLYMPIC BL and ALVARADO ST, Los Angeles",34.0517274,-118.2798705,geocoding,NO,GEOMETRIC_CENTER,"S Alvarado St & Olympic Blvd, Los Angeles, CA 90006, USA",['intersection']
"MAPLE AV and 22ND ST, Los Angeles",34.0272678,-118.2630576,geocoding,NO,GEOMETRIC_CENTER,"Maple Ave & E 22nd St, Los Angeles, CA 90011, USA",['intersection']
"AVALON ST and 48TH ST, Los Angeles",34.000268,-118.2586729,geocoding,YES,GEOMETRIC_CENTER,"E 48th St, Los Angeles, CA 90011, USA",route
"RESEDA BL and VICTORY BL, Los Angeles",34.1866071,-118.5360452,geocoding,NO,GEOMETRIC_CENTER,"Victory Blvd & Reseda Blvd, Los Angeles, CA 91335, USA",['intersection']
8000 AVALON BL,34.0704709,-84.2742103,geocoding,NO,ROOFTOP,"8000 Avalon Blvd, Alpharetta, GA 30009, USA",['street_address']
"SEPULVEDA BL and BASSETT, Los Angeles",34.1957365,-118.4662079,geocoding,NO,GEOMETRIC_CENTER,"Bassett St & Sepulveda Blvd, Los Angeles, CA 91405, USA",['intersection']
"LANKERSHIM and NEENACH, Los Angeles",34.2309024,-118.3877923,geocoding,NO,GEOMETRIC_CENTER,"Lankershim Blvd & Neenach St, Los Angeles, CA 91352, USA",['intersection']
"SELMA AV and WILCOX AV, Los Angeles",34.0997741,-118.3310454,geocoding,NO,GEOMETRIC_CENTER,"Wilcox Ave & Selma Ave, Los Angeles, CA 90028, USA",['intersection']
20300 SATICOY ST,34.208339,-118.5753925,geocoding,NO,RANGE_INTERPOLATED,"20300 Saticoy St, Winnetka, CA 91306, USA",['street_address']
11200 SANTA MONICA BL,34.0777229,-118.3947846,geocoding,NO,RANGE_INTERPOLATED,"11200 Santa Monica Blvd, Beverly Hills, CA 90210, USA",['street_address']
"BURLINGTON AV and 6TH ST, Los Angeles",34.0580199,-118.2714766,geocoding,NO,GEOMETRIC_CENTER,"S Burlington Ave & 6th St, Los Angeles, CA 90057, USA",['intersection']
"CHESLEY and SLAUSON, Los Angeles",33.9889913,-118.3344636,geocoding,NO,GEOMETRIC_CENTER,"Chesley Ave & Slauson Ave, Los Angeles, CA 90043, USA",intersection
"PLAYGROUND and ALCAZAR, Los Angeles",34.0628969,-118.1991195,geocoding,NO,GEOMETRIC_CENTER,"Playground St & Alcazar St, Los Angeles, CA 90033, USA",intersection
"OLYMPIC and COTNER, Los Angeles",34.0393136,-118.4393764,geocoding,NO,GEOMETRIC_CENTER,"W Olympic Blvd & Cotner Ave, Los Angeles, CA 90025, USA",['intersection']
9500 TAMPA AV,34.2427608,-118.5535874,geocoding,NO,RANGE_INTERPOLATED,"9500 Tampa Ave, Northridge, CA 91324, USA",street_address
3800 PORTOLA AV,34.0890025,-118.1717541,geocoding,NO,RANGE_INTERPOLATED,"3800 Portola Ave, Los Angeles, CA 90032, USA",['street_address']
"LA BREA and SUNSET, Los Angeles",34.0979735,-118.3441462,geocoding,NO,GEOMETRIC_CENTER,"Sunset Blvd & N La Brea Ave, Los Angeles, CA 90046, USA",['intersection']
"PARTHENIA and CEDROS, Los Angeles",34.2280985,-118.4535698,geocoding,NO,GEOMETRIC_CENTER,"Parthenia St & Cedros Ave, Los Angeles, CA 91402, USA",['intersection']
600 S WESTLAKE AV,34.0588576,-118.2737517,geocoding,NO,RANGE_INTERPOLATED,"600 S Westlake Ave, Los Angeles, CA 90057, USA",['street_address']
300 W ANAHEIM ST,33.7798318,-118.2650945,geocoding,NO,RANGE_INTERPOLATED,"300 W Anaheim St, Wilmington, CA 90744, USA",['street_address']
6500 WOODMAN AV,34.1885662,-118.4309564,geocoding,NO,RANGE_INTERPOLATED,"6500 Woodman Ave, Van Nuys, CA 91401, USA",['street_address']
"BAGLEY AV and HARLOW AV, Los Angeles",34.0295207,-118.3966737,geocoding,NO,GEOMETRIC_CENTER,"Bagley Ave & Harlow Ave, Los Angeles, CA 90034, USA",['intersection']
"11TH ST and FLOWER, Los Angeles",34.0431992,-118.2640608,geocoding,NO,GEOMETRIC_CENTER,"11th St & Flower St, Los Angeles, CA 90015, USA","['establishment', 'point_of_interest', 'transit_station']"
"SERRANO and 7TH ST, Los Angeles",34.0597006,-118.3066124,geocoding,NO,GEOMETRIC_CENTER,"S Serrano Ave & 7th St, Los Angeles, CA 90010, USA",intersection
1400 W FLORENCE AV,33.9743893,-118.3006338,geocoding,NO,ROOFTOP,"1400 W Florence Ave, Los Angeles, CA 90044, USA",['street_address']
"33RD ST and HILL ST, Los Angeles",34.0138175,-118.2574273,geocoding,YES,GEOMETRIC_CENTER,"E 33rd St, Los Angeles, CA, USA",route
6900 VAN NUYS BL,34.1958971,-118.447475,geocoding,NO,ROOFTOP,"6900 Van Nuys Blvd, Van Nuys, CA 91405, USA",['premise']
5100 S VERMONT AV,33.9962644,-118.2913106,geocoding,NO,RANGE_INTERPOLATED,"5100 S Vermont Ave, Los Angeles, CA 90037, USA",['street_address']
"REMMET and ROSCOE, Los Angeles",34.2197618,-118.6003338,geocoding,NO,GEOMETRIC_CENTER,"Roscoe Blvd & Remmet Ave, Los Angeles, CA 91304, USA",['intersection']
1800 S HOBART BL,34.0412656,-118.3049838,geocoding,NO,ROOFTOP,"1800 S Hobart Blvd, Los Angeles, CA 90006, USA",['premise']
8500 N SEPULVEDA BL,34.1285259,-118.4802498,geocoding,NO,RANGE_INTERPOLATED,"8500 N Sepulveda Blvd, Los Angeles, CA 90049, USA",['street_address']
"BUNDY and SANTA MONICA, Los Angeles",34.0405651,-118.463341,geocoding,NO,GEOMETRIC_CENTER,"Bundy Dr & Santa Monica Blvd, Los Angeles, CA 90025, USA",['intersection']
"WASHINGTON BL and MILDRED, Los Angeles",33.9863971,-118.455144,geocoding,NO,GEOMETRIC_CENTER,"Washington Blvd & Mildred Ave, Los Angeles, CA 90291, USA",['intersection']
