first,paste_cross
"Towne,",1
Towne/San,1
tremaine,1
Trinity,1
Tujung,1
Tujunga/Riverside,1
TUXFORD,1
union,1
Valerio,1
Vanalden,1
VARIEL,1
velasco,1
Velasco:,1
vendome,1
Vespar,1
Vetreran,1
Via,1
Victoria,1
VICTORY,1
vigil,1
Viineland,1
Vinelamd,1
Vineyard,1
Vinneland,1
virgil,1
VISTA,1
Vista,1
Vreeland,1
Wahington,1
Wakefield,1
"Wall,",1
Wall/,1
Wall/Industrial,1
Wall/Julian,1
walton,1
WARING,1
Warring,1
Warwick,1
Wasatch,1
washington,1
Water,1
Webb,1
WESTCHESTER,1
WESTERN,1
Westgate,1
Westlawn,1
Westmorland,1
Westoreland,1
Whiteoak,1
whitnall,1
whittier,1
Wilimginton,1
Will,1
WILLIS,1
Willis,1
Willmington,1
willoughby,1
Wilmigton,1
Wilmingto,1
wiloughby,1
Wilshiire,1
WILSON,1
wilson,1
Wimlington,1
Windward,1
WINSTON,1
Winward,1
WOODMAN,1
wyandotte,1
xxx,
Yosemite,1
yucca,1
Zone,
