arrest_type_code,charge,charge_description,charge_group_code,count,HRW_charge,perc_change_group
M,11364.7AHS,TRANSPORT/DELIVER/ETC DRUG PARAPHERNALIA,Narcotic Drug Laws,5,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364AH&S,NA,NA,5,Drug paraphernalia,Drug/paraphenelia use/possession charge
F,11364HS,POSSESSION CNTL SUBSTANCE PARAPHERNALIA,Narcotic Drug Laws,5,Drug paraphernalia,Drug/paraphenelia use/possession charge
I,11364.1(A)H,NA,NA,4,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.3HS,NA,NA,4,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.5HS,ALLOW MINOR NEAR DRUG PARAPHERNALIA,NA,4,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364 A HS,NA,NA,3,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364 H/S,NA,NA,3,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.1(HS),NA,NA,3,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.1A,NA,NA,3,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.1A HS,NA,NA,3,Drug paraphernalia,Drug/paraphenelia use/possession charge
I,11364.1H&S,NA,NA,3,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364(A)2HS,POSSESSION/CONT SUBSTANCE PARAPHERNALIA,NA,3,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364(A)H8S,NA,NA,3,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364(C)HS,NA,NA,3,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.(A)HS,NA,NA,2,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.1(A)P,NA,NA,2,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.1(H&S,NA,NA,2,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.1A H&,NA,NA,2,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.1AH&S,NA,NA,2,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.1BHS,NA,NA,2,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.1H/S,NA,NA,2,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.4HS,NA,NA,2,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.5H&S,NA,NA,2,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.H&S,NA,NA,2,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.HS,NA,NA,2,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364(A)(I),NA,NA,2,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364(A)LAM,NA,NA,2,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364(B)HS,NA,NA,2,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,113641HS,NA,NA,2,Drug paraphernalia,Drug/paraphenelia use/possession charge
I,11364A,NA,NA,2,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364A H&S,NA,NA,2,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364H/S,NA,NA,2,Drug paraphernalia,Drug/paraphenelia use/possession charge
O,11364H&S,NA,NA,2,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,4149(B)BP,POSSESSION OF HYPE KIT,NA,2,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,4149BPSEL,UNLIC NONRES DIST NDL/ETC,NA,2,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364 (A)H&,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364 (H&S),NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364 A,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364 HNS,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
I,11364 HS,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
O,11364 HS,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.(1)HS,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
I,11364.(A),NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.(A)H&,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.+(A)H,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.1 (A),NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
O,11364.1 H&S,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.1 PC,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.1(1)H,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.1(A(H,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
I,11364.1(A),NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.1(C),NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.16 H.,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
I,11364.1A,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
O,11364.1AHS,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.1CAH&,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.1H&@,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
O,11364.1H&S,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
I,11364.1HS,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.1PC,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.5BHS,OWNER/ETC ALLOW UND 18 VIEW DRUG PARAPH,Narcotic Drug Laws,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.7BHS,MFG DRUG PARAPH W/INT DELIVR/ETC TO GROW,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
I,11364.A(A)H,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.A(A)H,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364.AHS,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364(1)(A),NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364(A) HS,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364(A)(1),NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364(A)BP,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364(A)H/S,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
I,11364(A)H&H,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
O,11364(A)H&S,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364(A)HA,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364(A)HNS,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364(A)HR,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
O,11364(A)HS,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
F,11364(A)HS,POSS DEVICE/INSTRUMT/PARAPHERNALIA,Narcotic Drug Laws,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364(A)PC,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364(K)HS,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364(L)H&S,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364(M)HS,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364/PC,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,113641(A)HS,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,113641AHS,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,113641ASH,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,113645HS,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364A(H&S),NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364A1,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364A1HS,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364AH,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364AH&5,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
I,11364AHS,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
I,11364BHS,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364GH,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364H.S,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364HS/M,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364HSS,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364MHS,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,11364N/S,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
I,4141 BP,NA,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
M,4141BP,UNLIC SELL/ETC NEEDL/ETC,NA,1,Drug paraphernalia,Drug/paraphenelia use/possession charge
I,11362.3A1HS,SMOKE/INGEST MARIJUANA IN PUBLIC PLACE,Narcotic Drug Laws,862,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11362.3A1HS,NA,NA,189,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11357HS,POSSESSION CANNABIS,NA,166,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11357BHS,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA**,NA,143,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11357(B)HS,POSSESS 28.5 GRAMS OR MORE OF MARIJUANA,NA,137,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11357(B)HS,POSSESS 28.5 GRAMS OR MORE OF MARIJUANA,Narcotic Drug Laws,135,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11358(C)HS,CULTIVATING <6 MARIJUANA PLANTS,Narcotic Drug Laws,118,Marijuana in public/possession,Drug/paraphenelia use/possession charge
F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,Narcotic Drug Laws,93,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11359(B)HS,POSSESS MARIJUANA FOR SALE,Narcotic Drug Laws,78,Marijuana in public/possession,Drug/paraphenelia use/possession charge
F,11360A3DHS,SALE/TRANS >28.5G MARIJUANA OR >4G,Narcotic Drug Laws,77,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11357(A)HS,POSSESS CONCENTRATED CANNABIS,Narcotic Drug Laws,75,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11357(B)2HS,POSS MARIJUANA OR CONCENTRATED CANNABIS,Narcotic Drug Laws,53,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11362.3HS,NA,NA,52,Marijuana in public/possession,Drug/paraphenelia use/possession charge
F,11359HS,POSSESSION MARIJUANA FOR SALE,Narcotic Drug Laws,47,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11362(A)HS,NA,NA,34,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11357(C)HS,POSSESS LESS THAN 28.5 GRAMS OF MARIJUANA,Narcotic Drug Laws,33,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11360(B)HS,GIVE/TRANSPORT/ETC < 28.5 GRAMS MARIJUANA,NA,32,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11360(A)HS,SELL/FURNISH/ETC MARIJ/HASH OVER 1 OZ,Narcotic Drug Laws,28,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11362.4(A)H,NA,NA,28,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11362.3A1H&,NA,NA,26,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11358HS,NA,Narcotic Drug Laws,25,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11357(B)(2),NA,NA,22,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11359HS,NA,NA,21,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11362.3(A)2,NA,NA,20,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11360(A)2HS,SALE/OFFER TO SELL/TRANSPORT MARIJUANA,Narcotic Drug Laws,17,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11362.3(A)H,NA,NA,17,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11358(C)H&S,NA,NA,16,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11359(B)H&S,NA,NA,15,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11362.3(A),NA,NA,15,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11362(A)HS,NA,NA,15,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11362.4(A)H,NA,NA,14,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11360HS,NA,NA,13,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11362.3A2HS,SMOKE MARIJ LOC WHERE SMOKE TOBACCO PROH,NA,13,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11362.3HS,NA,NA,13,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11362HS,NA,NA,13,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11357BHS,NA,Narcotic Drug Laws,11,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11362.3(A)(,NA,NA,11,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11362.3H&S,NA,NA,11,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,113623(A)(1,NA,NA,11,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11357(A)(2),NA,NA,10,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11362.3(A)H,NA,NA,10,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11362.4HS,NA,NA,10,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11357(A)(1),NA,NA,9,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11357(B)H&S,NA,NA,9,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11359H&S,NA,NA,9,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11362.3(A)I,NA,NA,9,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,113623A1HS,NA,NA,9,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11362.3A1,NA,NA,8,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11357(A)HS,NA,NA,7,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11357HS,NA,Narcotic Drug Laws,7,Marijuana in public/possession,Drug/paraphenelia use/possession charge
F,11358HS,UNLAWFULLY PLANT/CULTIVATE/ETC MARIJUANA,NA,7,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11362.3H&S,NA,NA,7,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11362.4HS,NA,NA,7,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11357(A)2HS,18-20 AGE POSS UPTO 1OZ CANNABIS/8G CONCEN,NA,6,Marijuana in public/possession,Drug/paraphenelia use/possession charge
F,11359(D)HS,POSS/SALE MARIJ OVR 21 EMPLOY PER 20/BELW,Narcotic Drug Laws,6,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11360A2HS,NA,NA,6,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11362.3A1H&,NA,NA,6,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11362.3AHS,NA,NA,6,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11362HS,NA,NA,6,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11357A2HS,NA,NA,5,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11357B HS,NA,NA,5,Marijuana in public/possession,Drug/paraphenelia use/possession charge
F,11358(D)3HS,CULTIVATE >6 MARIJ PLANTS VIOL ENVRNT LAW,Narcotic Drug Laws,5,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11359BHS,NA,NA,5,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11362.3(1)H,NA,NA,5,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11362.3A(1),NA,NA,5,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,113623A1,NA,NA,5,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11357(B)H&S,NA,NA,4,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11357(E)HS,MINOR POSS 28.5+ GRAMS MARIJUANA/SCHOOL,Narcotic Drug Laws,4,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11357A2HS,NA,NA,4,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11357AHS,NA,NA,4,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11358(A)HS,NA,NA,4,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11358C HS,NA,NA,4,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11360(A)(2),NA,NA,4,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11360(A)H&S,NA,NA,4,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11362.3A H&,NA,NA,4,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11362(A)(1),NA,NA,4,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11357(A)(1),NA,NA,3,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11357(A)2HS,NA,NA,3,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11357(A)H&S,NA,NA,3,Marijuana in public/possession,Drug/paraphenelia use/possession charge
F,11357(A)HS,POSSESS CONCENTRATED CANNABIS W/SP PRIOR,Narcotic Drug Laws,3,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11357(D)HS,MINOR POSS < 28.5 GRAMS MARIJUANA/SCHOOL,NA,3,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11357(E)1HS,POSSESSION OF MARIJUANA IN SCHOOL,Narcotic Drug Laws,3,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11357A1HS,NA,NA,3,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11357B2,NA,NA,3,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11359(B),NA,NA,3,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11359BH/S,NA,NA,3,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11360H&S,NA,NA,3,Marijuana in public/possession,Drug/paraphenelia use/possession charge
F,11361(B)HS,FURNISHING MARIJUANA TO MINOR OVER 14 YRS,Narcotic Drug Laws,3,Marijuana in public/possession,Drug/paraphenelia use/possession charge
F,11361HS,INDUCE/ETC MINOR TO USE/SELL MARIJUANA,Narcotic Drug Laws,3,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11362.3A 1H,NA,NA,3,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11362.3A1BP,NA,NA,3,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11362.3A5HS,POSS/SMOKE/INGEST MARIJ SCHOOL/DAYCARE/YC,Narcotic Drug Laws,3,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11362.4AHS,NA,NA,3,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11362(A)(1),NA,NA,3,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11357(A)1HS,UNDER 18 POSS UPTO 1OZ CANNABIS/8G CONCENT,NA,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11357(B)2HS,POSSESS OVER 1OZ CANNABIS/8G CONCENTRATE,Narcotic Drug Laws,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11357B,NA,NA,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11357B2HS,NA,NA,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11357BH&S,NA,NA,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11357C HS,NA,NA,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11358 H&S,NA,NA,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11358 HS,NA,NA,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,113589C)HS,NA,NA,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11359B,NA,NA,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11360 HS,NA,NA,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11360(B)HS,NA,Narcotic Drug Laws,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
F,11360HS,TRANSPORT/ETC MARIJUANA,NA,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11362.(A)(1,NA,NA,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11362.1 HS,NA,NA,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11362.2(A)1,NA,NA,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11362.3(A),NA,NA,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11362.3(A)(,NA,NA,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11362.3(A)1,NA,NA,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11362.3A1 H,NA,NA,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11362.3A1 H,NA,NA,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11362.3A2HS,NA,NA,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11362.3A4HS,NA,NA,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11362.3AHS,NA,NA,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11362.4A1HS,NA,NA,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11362.4A1HS,NA,NA,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11362.4AHS,NA,NA,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11362.4B1HS,NA,NA,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11362.4LAMC,NA,NA,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,1136203(A)(,NA,NA,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,113622(A)(1,NA,NA,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,113623(A)1H,NA,NA,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,113624(A)HS,NA,NA,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11362H&S,NA,NA,2,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11357.5BHS,USE/POSSESS SYNTHETIC CANNABIS,Narcotic Drug Laws,1,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11357(2)(B),NA,NA,1,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11357(A)(2),NA,NA,1,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11357(A)1H,NA,NA,1,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11357(A)1HS,NA,NA,1,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11357(A)2)H,NA,NA,1,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11357(A)2H&,NA,NA,1,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11357(A)2H&,NA,NA,1,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11357(A)HC,NA,NA,1,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11357(A)HSS,NA,NA,1,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11357(B),NA,NA,1,Marijuana in public/possession,Drug/paraphenelia use/possession charge
M,11357(B) HS,NA,NA,1,Marijuana in public/possession,Drug/paraphenelia use/possession charge
I,11357(B)(2),NA,NA,1,Marijuana in public/possession,Drug/paraphenelia use/possession charge
